Altium Designer Pick and Place Locations
U:\dev\hid_kbd\pcb\wch554g\Outputs\2022-06-06\Pick Place for wch554g.csv

========================================================================================================================
File Design Information:

Date:       06/06/22
Time:       14:24
Revision:   ec7dffba840a5cd32f1adf665ec920ecac398598
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"USB","16.1755mm","11.3200mm","BottomLayer","270"
"DBG","17.4880mm","3.6068mm","BottomLayer","270"
"MCU2","6.7818mm","7.6454mm","BottomLayer","360"
"ROTARY_ENCODER1","6.7700mm","8.0050mm","TopLayer","180"
"R10","14.6424mm","6.1468mm","BottomLayer","180"
"R9","9.2058mm","1.9059mm","BottomLayer","180"
"R8","6.0309mm","13.7173mm","BottomLayer","180"
"R7","0.9144mm","14.4034mm","BottomLayer","270"
"R6","1.6622mm","1.0090mm","BottomLayer","180"
"F2","12.0844mm","14.8144mm","BottomLayer","180"
"D8","11.1053mm","13.4248mm","BottomLayer","360"
"D7","12.3698mm","12.4953mm","BottomLayer","90"
"D6","12.3698mm","10.8022mm","BottomLayer","270"
"D5","6.4648mm","1.8538mm","BottomLayer","180"
"C10","1.6872mm","2.4384mm","BottomLayer","180"
"C9","0.9144mm","11.6710mm","BottomLayer","90"
"C8","2.9848mm","13.7173mm","BottomLayer","360"
"C7","11.9394mm","4.4908mm","BottomLayer","180"
"C6","11.2063mm","2.4254mm","BottomLayer","90"
